x,y,OBJECTID,Name,Acres,Neighborho,SqMiles,ShapeSTAre,ShapeSTLen
-71.12666259,42.28252394,27,Roslindale,1605.5682375,15,2.51,69938272.92557049,53563.912597056624
-71.11509694,42.3077695,28,Jamaica Plain,2519.24539377,11,3.94,109737890.7543396,56349.93716141023
-71.10260665,42.33174149,29,Mission Hill,350.8535636,13,0.55,15283120.015025549,17918.724113458415
-71.10510268,42.33860888,30,Longwood,188.61194672,28,0.29,8215903.536542233,11908.757147546603
-71.069032000000007,42.34910324,31,Bay Village,26.53983916,33,0.04,1156070.765868443,4650.635493295902
-71.05782809,42.35098295,32,Leather District,15.63990811,27,0.02,681271.6699130959,3237.140536982458
-71.06166205,42.34902733,33,Chinatown,76.32440999,26,0.12,3324678.0184608065,9736.590412617801
-71.05385774,42.36546473,34,North End,126.91043901,14,0.2,5527506.015014978,16177.82681542302
-71.08664323,42.31851857,35,Roxbury,2108.46907176,16,3.29,91844545.97481573,49488.80048473105
-71.0713693,42.3413504,36,South End,471.53535561,32,0.74,20539997.949357674,17912.3335694887
-71.08053536,42.34986052,37,Back Bay,399.31441106,2,0.62,17394066.03163126,19455.67114645963
-71.01569538,42.37267857,38,East Boston,3012.05959319,8,4.71,131384486.94540197,121089.10085195504
-71.06376665,42.37931017,39,Charlestown,871.54122286,4,1.36,37964183.77423641,57509.68864499235
-71.06559037,42.36466834,40,West End,190.4907324,31,0.3,8297743.118450366,17728.590026702506
-71.06826237,42.35705004,41,Beacon Hill,200.15690397,30,0.31,8718799.865141485,14303.829016718919
-71.05765066,42.35559318,42,Downtown,397.47284644,7,0.62,17313847.79790867,34612.804441051645
-71.09611486,42.34476717,43,Fenway,560.61846143,34,0.88,24420442.668534838,24620.87645222677
-71.15493542,42.3483567,44,Brighton,1840.40859627,25,2.88,80167877.560494,48787.519651516
-71.16002691,42.28064227,45,West Roxbury,3516.42178618,19,5.49,153174723.37446594,66067.41983818193
-71.12629868,42.25503506,46,Hyde Park,2927.22116773,10,4.57,127509243.25802761,66861.24495542672
-71.09144626,42.27700514,47,Mattapan,1352.09835365,12,2.11,58897168.69849393,42005.77370701937
-71.06345682,42.29846233,48,Dorchester,4662.8794573,6,7.29,203114216.9891293,104344.03400484535
-71.04172702,42.34641665,49,South Boston Waterfront,621.84352373,29,0.97,27087395.391558826,38391.35290524013
-71.04464394,42.3349085,50,South Boston,1439.88880731,17,2.25,62721306.143917084,64998.420282952466
-71.12856252,42.35840528,51,Allston,998.53447869,24,1.56,43495988.00350556,37859.09124166746
-70.96877509,42.32794088,52,Harbor Islands,824.88865794,22,1.29,35932006.098031044,92482.18356833681
